Year,E_FF,E_LUC,G_ATM,S_OCN,S_LND,BIM,GDP,DGDP,GGDP
1959,2.404406675,1.938933333,2.03904,0.975005219,0.401805229,0.927489561,,412430869874.70,0.037204666463218
1960,2.548301358,1.7926,1.50804,0.959013163,1.234131427,0.639716768,10880523983790.20,412430869874.70,0.037204666463218
1961,2.555817502,1.6665,1.65672,0.805321108,0.839819014,0.92045738,11292954853664.90,412430869874.70,0.037204666463218
1962,2.645443362,1.608266667,1.18944,0.895229052,1.322231191,0.846809785,11893340082679.60,600385229014.70,0.051799519527233
1963,2.786531755,1.542733333,1.21068,1.059836997,0.871916855,1.186831236,12509993740007.20,616653657327.60,0.050549237546175
1964,2.937229436,1.494466667,1.04076,1.213244941,1.686225844,0.491465318,13330460281120.80,820466541113.60,0.063523839231380
1965,3.069373029,1.382833333,2.3364,1.320652886,0.340225187,0.45492829,14070193073959.70,739732792838.90,0.054006930106372
1966,3.217874752,1.323066667,2.3364,1.27606083,1.395263694,-0.466783106,14873952733543.80,803759659584.10,0.055552951068197
1967,3.319751023,1.344133333,1.29564,1.127068775,1.675843912,0.565331669,15492198478265.50,618245744721.70,0.040725028746756
1968,3.500181537,1.358466667,2.10276,1.182576719,2.403739384,-0.8304279,16412599338551.40,920400860285.90,0.057712718993773
1969,3.732498351,1.273466667,2.80368,1.274684664,0.712520681,0.215079673,17367139213849.70,954539875298.30,0.056530577505498
1970,4.039740524,1.2551,2.40012,1.125492608,0.71291312,1.056314796,18049414826352.00,682275612502.30,0.038533394929111
1971,4.203842693,1.2516,1.55052,1.213600553,2.449679907,0.241642233,18820931254924.00,771516428572.00,0.041856350468102
1972,4.398742733,1.252866667,3.12228,1.481408497,1.252495427,-0.204574524,19878463327863.50,1057532072939.50,0.054667285720882
1973,4.630642104,1.213866667,3.10104,1.351416442,1.890608134,-0.498555806,21152005845539.30,1273542517675.80,0.062097839178282
1974,4.611103566,1.1793,1.44432,1.310524386,4.18642363,-1.15086445,21531380132381.00,379374286841.70,0.017776672051895
1975,4.620530842,1.1927,2.61252,1.258732331,2.645030158,-0.703051647,21668442818277.00,137062685896.00,0.006345542015993
1976,4.874367868,1.1749,2.06028,1.423740275,2.988922576,-0.423674984,22817542027014.50,1149099208737.50,0.051672673187760
1977,5.011424154,1.202833333,4.07808,1.50374822,1.508259042,-0.875829775,23752823954679.20,935281927664.70,0.040171799483531
1978,5.165536574,1.152666667,2.73996,1.540656164,2.780701631,-0.743114555,24735472684551.90,982648729872.70,0.040536927677479
1979,5.311779481,1.107933333,4.54536,1.487564109,1.420201898,-1.033413192,25768090229140.70,1032617544588.80,0.040898559174750
1980,5.278528414,1.1148,3.63204,1.736472053,0.41158172,0.61323464,26251816899919.00,483726670778.30,0.018598288258030
1981,5.150685216,1.198633333,2.4426,1.723079998,2.219962412,-0.036323861,26759429936259.70,507613036340.70,0.019151730325387
1982,5.10844278,1.2033,2.10276,1.888687942,1.669895897,0.65039894,26864977409047.50,105547472787.80,0.003936551071188
1983,5.140236251,1.311366667,3.88692,2.008095887,0.281260988,0.275326043,27576894198724.80,711916789677.30,0.026154772116531
1984,5.318432736,1.448166667,2.61252,1.868303831,2.886583975,-0.600808404,28866310922555.60,1289416723830.80,0.045696947734861
1985,5.49737305,1.386566667,3.5046,1.775311776,2.765719645,-1.161691705,29934226755731.20,1067915833175.60,0.036327330142711
1986,5.577388192,1.396466667,2.16648,1.82601972,2.306883632,0.674471505,30965066344239.00,1030839588507.80,0.033857143675430
1987,5.751392912,1.395433333,5.6286,1.917227665,0.352741892,-0.751743312,32120531215820.10,1155464871581.10,0.036635750473412
1988,5.975697874,1.3806,4.60908,1.793335609,2.060466064,-1.106583799,33610978947938.50,1490447732118.40,0.045357340582598
1989,6.058325418,1.328833333,3.10104,1.819043554,3.569628387,-1.10255319,34872602191583.60,1261623243645.10,0.036848715415150
1990,6.153603509,1.331133333,2.59128,2.014666959,2.332291273,0.546498611,35872801353649.40,1000199162065.80,0.028277902477633
1991,6.283098519,1.298366667,1.593,2.124042418,2.253601221,1.610821547,36396645962280.70,523844608631.31,0.014497240611519
1992,6.10077137,1.3348,1.52928,2.267415933,2.255570316,1.38330512,37150089759508.30,753443797227.59,0.020489560794555
1993,6.160109249,1.3309,2.61252,2.220344293,2.860670797,-0.202525841,37821833014205.40,671743254697.10,0.017920341552969
1994,6.199183271,1.445366667,3.52584,2.012652623,1.466322609,0.639734707,39072428656150.70,1250595641945.30,0.032530539946119
1995,6.328932738,1.4433,4.248,1.998070005,1.772155073,-0.24599234,40280096082454.40,1207667426303.70,0.030440384413890
1996,6.517266112,1.442433333,2.2302,2.005717985,3.398322322,0.325459138,41738534056902.90,1458437974448.50,0.035567326999288
1997,6.553387228,1.9391,4.18428,2.155710264,3.185082113,-1.03258515,43368280184680.10,1629746127777.20,0.038303522358351
1998,6.528042326,1.497466667,6.03216,2.200269103,1.505662267,-1.712582378,44580116043348.50,1211835858668.40,0.027559628421447
1999,6.666765323,1.4981,2.82492,1.965913982,3.594113189,-0.220081848,46150778857990.20,1570662814641.70,0.034625906478876
2000,6.860298838,1.396266667,2.655,1.911375151,3.746798933,-0.056608579,48221701449585.50,2070922591595.30,0.043895319804019
2001,6.916052952,1.2934,3.9294,1.818763603,2.384497417,0.076791932,49184613244659.40,962911795073.90,0.019771678382245
2002,7.078670868,1.413,5.03388,2.173321063,0.985490892,0.298978913,50330076123128.30,1145462878468.90,0.023021997611764
2003,7.445770919,1.5428,4.86396,2.314344225,2.312348724,-0.50208203,51915899583516.50,1585823460388.20,0.031022260345605
2004,7.707599278,1.4635,3.2922,2.274834085,3.465957411,0.138107782,54248772809378.30,2332873225861.80,0.043955277526500
2005,7.967112463,1.2873,5.24628,2.328792989,1.878445025,-0.199105551,56442127863342.30,2193355053964.00,0.039635456469419
2006,8.224003307,1.384633333,3.75948,2.425367409,3.114290571,0.30949866,58968606186666.10,2526478323323.80,0.043789376151132
2007,8.463654574,1.210966667,4.50288,2.364718972,2.709056494,0.097965775,61608870771064.30,2640264584398.20,0.043800662435398
2008,8.617000703,1.2672,3.78072,2.38159235,3.629789102,0.092099251,62881953554551.60,1273082783487.30,0.020453349422485
2009,8.467335931,1.373833333,3.35592,2.535794978,2.985733115,0.963721172,62048244546206.90,-833709008344.70,-0.013346995323012
2010,8.949462441,1.320333333,5.14008,2.510947882,3.321473531,-0.702705638,64860444224899.70,2812199678692.80,0.044325729541747
2011,9.242927517,1.354833333,3.56832,2.554718366,4.109073527,0.365648957,67014475287586.70,2154031062687.00,0.032670695287589
2012,9.377747667,1.3174,5.11884,2.622778943,2.315467674,0.638061051,68828665644465.20,1814190356878.50,0.026711664848939
2013,9.454652431,1.263133333,5.2038,2.647508309,3.558472789,-0.691995333,70769522542588.20,1940856898123.00,0.027808125484327
2014,9.516910367,1.342166667,4.33296,2.782888814,3.663418963,0.079809257,72932182444668.50,2162659902080.30,0.030101566288646
2015,9.509658675,1.4699,6.2658,2.846643432,2.008669671,-0.141554429,75179266270828.20,2247083826159.70,0.030345476709805
2016,9.497424178,1.235766667,6.03216,2.981613406,2.693548721,-0.974131282,77283455832835.40,2104189562007.20,0.027604428782318
2017,9.648803298,1.1823,4.54536,2.854827735,3.555003577,-0.124088014,79895242389276.70,2611786556441.30,0.033236399196415
2018,9.841200678,1.1412,5.03388,2.947231478,3.647434614,-0.646145413,82513126921358.40,2617884532081.70,0.032241088446966
2019,9.906784048,1.2438,5.43744,2.994756208,3.041949161,-0.323561321,84670747922773.30,2157621001414.89,0.025812786119346
2020,9.403914992,1.107466667,4.9914,2.998115165,3.105136621,-0.583270127,81900982470406.40,-2769765452366.89,-0.033259194238212
2021,9.902260271,1.075066667,5.22504,2.879511532,3.450346856,-0.577571451,86652923958273.30,4751941487866.89,0.056399773298949